"","rf.false","rf.true"
"index_81996",1,0
"index_9499",1,0
"index_217570",0.802,0.198
"index_120585",0.1,0.9
"index_160758",1,0
"index_4826",0.846,0.154
"index_8956",1,0
"index_179212",0,1
"index_76559",1,0
"index_133535",0.45,0.55
"index_63937",1,0
"index_179064",0.028,0.972
"index_93690",1,0
"index_69392",0,1
"index_60016",1,0
"index_174411",0.332,0.668
"index_237523",0,1
"index_26035",0.928,0.072
"index_152425",1,0
"index_41178",1,0
"index_239660",1,0
"index_62595",1,0
"index_238777",0.62,0.38
"index_103818",0.194,0.806
"index_108032",1,0
"index_246008",1,0
"index_7002",0.162,0.838
"index_25089",1,0
"index_207684",1,0
"index_207732",0.162,0.838
"index_235009",1,0
"index_38327",1,0
"index_86095",1,0
"index_178200",0.998,0.002
"index_211162",1,0
"index_79142",1,0
"index_38297",1,0
"index_167468",0.99,0.01
"index_173395",1,0
"index_31113",1,0
"index_158598",0,1
"index_113167",1,0
"index_245308",1,0
"index_36379",0.032,0.968
"index_191121",0.058,0.942
"index_115581",0.726,0.274
"index_160867",0.874,0.126
"index_117718",0.028,0.972
"index_85964",0.002,0.998
"index_38284",1,0
"index_43465",0.008,0.992
"index_208192",0.64,0.36
"index_48001",0.044,0.956
"index_145150",0.55,0.45
"index_7638",0.222,0.778
"index_163186",1,0
"index_32019",1,0
"index_84455",0.162,0.838
"index_139102",1,0
"index_96311",0.162,0.838
"index_51915",0.194,0.806
"index_219151",1,0
"index_28358",1,0
"index_111387",1,0
"index_44731",0.368,0.632
"index_243610",1,0
"index_134464",0.368,0.632
"index_20990",0.064,0.936
"index_218509",0.162,0.838
"index_78741",0,1
"index_222361",1,0
"index_228988",1,0
"index_92492",1,0
"index_226766",0.978,0.022
"index_88754",0.988,0.012
"index_14286",1,0
"index_89159",0.356,0.644
"index_111318",0.732,0.268
"index_120203",0.988,0.012
"index_49462",1,0
"index_54724",0.64,0.36
"index_75013",0,1
"index_78523",1,0
"index_146238",1,0
"index_186137",0.874,0.126
"index_94501",1,0
"index_91467",1,0
"index_67793",1,0
"index_197638",0.62,0.38
"index_49563",1,0
"index_64647",0.426,0.574
"index_88639",1,0
"index_200147",1,0
"index_29367",1,0
"index_78298",1,0
"index_229039",1,0
"index_248468",1,0
"index_86807",0.078,0.922
"index_41728",0.85,0.15
"index_152384",1,0
"index_230541",0.338,0.662
"index_59748",1,0
"index_26996",1,0
"index_125721",0.978,0.022
"index_200164",1,0
"index_36194",1,0
"index_207396",0.356,0.644
"index_141181",0.802,0.198
"index_238853",0.194,0.806
"index_202819",0.004,0.996
"index_76880",1,0
"index_66088",1,0
"index_241345",0.1,0.9
"index_31887",1,0
"index_32927",0.988,0.012
"index_149008",0.62,0.38
"index_13486",0.64,0.36
"index_45873",1,0
"index_132689",0.802,0.198
"index_109495",0.346,0.654
"index_88562",1,0
"index_131150",1,0
"index_11686",1,0
"index_139499",0.55,0.45
"index_102405",1,0
"index_88864",1,0
"index_25613",1,0
"index_115888",0.356,0.644
"index_137152",0.162,0.838
"index_83719",1,0
"index_214314",1,0
"index_36512",1,0
"index_164674",1,0
"index_232855",1,0
"index_137709",0.99,0.01
"index_247038",1,0
"index_11331",0.988,0.012
"index_38170",1,0
"index_177770",1,0
"index_102231",0.338,0.662
"index_23460",1,0
"index_64900",1,0
"index_170168",0.162,0.838
"index_19688",1,0
"index_116236",0.426,0.574
"index_155575",0.01,0.99
"index_84019",0.846,0.154
"index_151648",1,0
"index_243353",1,0
"index_182690",0.032,0.968
"index_177368",0.194,0.806
"index_117645",1,0
"index_19111",0,1
"index_31592",1,0
"index_55446",1,0
"index_112251",1,0
"index_201494",1,0
"index_248628",0.802,0.198
"index_39104",1,0
"index_240395",1,0
"index_111394",1,0
"index_84326",0.878,0.122
"index_8269",0.64,0.36
"index_136246",1,0
"index_19546",1,0
"index_53162",1,0
"index_143578",1,0
"index_84946",0.194,0.806
"index_200837",0.01,0.99
"index_247758",1,0
"index_47000",0.878,0.122
"index_107074",0.55,0.45
"index_240757",1,0
"index_192519",0.45,0.55
"index_69042",1,0
"index_145205",0.846,0.154
"index_151526",0.45,0.55
"index_114820",1,0
